showdate,showyear,exclude,position,transition,set,isjam,isreprise,gap,tourname,tourwhen,song,nickname,is_original,venue,city,state,country,trans_mark
1987-01-21,1987,0,1,4,1,0,0,7,1987 Tour,1987,Wilson,Wilson,1,Hunt's,Burlington,VT,USA,
1987-01-21,1987,0,2,1,2,0,0,7,1987 Tour,1987,I Am Hydrogen,Hydrogen,1,Hunt's,Burlington,VT,USA,","
1987-01-21,1987,0,3,1,2,0,0,1,1987 Tour,1987,Peaches en Regalia,Peaches,0,Hunt's,Burlington,VT,USA,","
1987-01-21,1987,0,4,1,2,0,0,2,1987 Tour,1987,"Swing Low, Sweet Chariot","Swing Low, Sweet Chariot",0,Hunt's,Burlington,VT,USA,","
1987-01-21,1987,0,5,1,2,0,0,2,1987 Tour,1987,Sneakin' Sally Through the Alley,Sneakin' Sally,0,Hunt's,Burlington,VT,USA,","
1987-01-21,1987,0,6,1,2,0,0,2,1987 Tour,1987,Makisupa Policeman,Makisupa,1,Hunt's,Burlington,VT,USA,","
1987-01-21,1987,0,7,2,2,0,0,2,1987 Tour,1987,Skin It Back,Skin It Back,0,Hunt's,Burlington,VT,USA,>
1987-01-21,1987,0,8,1,2,0,0,1,1987 Tour,1987,Cities,Cities,0,Hunt's,Burlington,VT,USA,","
1987-01-21,1987,0,9,6,2,0,0,1,1987 Tour,1987,Fluffhead,Fluffhead,1,Hunt's,Burlington,VT,USA,
1987-02-13,1987,0,1,1,1,2,0,4,1987 Tour,1987,Sneakin' Sally Through the Alley,Sneakin' Sally,0,Johnson State College,Johnson,VT,USA,","
1987-02-13,1987,0,2,1,1,2,0,5,1987 Tour,1987,Possum,Possum,1,Johnson State College,Johnson,VT,USA,","
1987-02-13,1987,0,3,2,1,2,0,5,1987 Tour,1987,Golgi Apparatus,Golgi,1,Johnson State College,Johnson,VT,USA,>
1987-02-13,1987,0,4,3,1,2,0,5,1987 Tour,1987,Slave to the Traffic Light,Slave,1,Johnson State College,Johnson,VT,USA,->
1987-02-13,1987,0,5,1,1,2,0,12,1987 Tour,1987,Quinn the Eskimo (The Mighty Quinn),Quinn,0,Johnson State College,Johnson,VT,USA,","
1987-02-13,1987,0,6,2,1,2,0,11,1987 Tour,1987,Alumni Blues,Alumni,1,Johnson State College,Johnson,VT,USA,>
1987-02-13,1987,0,7,2,1,2,0,22,1987 Tour,1987,Letter to Jimmy Page,LTJP,1,Johnson State College,Johnson,VT,USA,>
1987-02-13,1987,0,8,1,1,2,0,0,1987 Tour,1987,Alumni Blues,Alumni,1,Johnson State College,Johnson,VT,USA,","
1987-02-13,1987,0,9,1,1,2,0,58,1987 Tour,1987,Suzy Greenberg,Suzy,1,Johnson State College,Johnson,VT,USA,","
1987-02-13,1987,0,10,1,1,2,0,11,1987 Tour,1987,Sanity,Sanity,1,Johnson State College,Johnson,VT,USA,","
1987-02-13,1987,0,11,4,1,2,0,5,1987 Tour,1987,Good Times Bad Times,GTBT,0,Johnson State College,Johnson,VT,USA,
1987-02-13,1987,0,12,1,2,2,0,4,1987 Tour,1987,Wilson,Wilson,1,Johnson State College,Johnson,VT,USA,","
1987-02-13,1987,0,13,3,2,2,0,11,1987 Tour,1987,Melt the Guns,Melt the Guns,0,Johnson State College,Johnson,VT,USA,->
1987-02-13,1987,0,14,1,2,2,0,23,1987 Tour,1987,Dave's Energy Guide,DEG,1,Johnson State College,Johnson,VT,USA,","
1987-02-13,1987,0,15,1,2,2,0,4,1987 Tour,1987,Fluffhead,Fluffhead,1,Johnson State College,Johnson,VT,USA,","
1987-02-13,1987,0,16,6,2,2,0,10,1987 Tour,1987,Harry Hood,Hood,1,Johnson State College,Johnson,VT,USA,
1987-02-21,1987,0,1,4,1,0,0,61,1987 Tour,1987,Why Don't You Love Me?,Why Don't You Love Me?,0,"Slade Hall, University of Vermont",Burlington,VT,USA,
1987-02-21,1987,0,2,1,2,0,0,1,1987 Tour,1987,Fluffhead,Fluffhead,1,"Slade Hall, University of Vermont",Burlington,VT,USA,","
1987-02-21,1987,0,3,1,2,0,0,36,1987 Tour,1987,Fire,Fire,0,"Slade Hall, University of Vermont",Burlington,VT,USA,","
